Date,Open,High,Low,Close,Adj Close,Volume
2014-12-02,1.247007,1.247801,1.239572,1.247007,1.247007,0
2014-12-03,1.238804,1.239296,1.230300,1.238850,1.238850,0
2014-12-04,1.231224,1.243178,1.229770,1.231664,1.231664,0
2014-12-05,1.238574,1.239249,1.227506,1.238666,1.238666,0
2014-12-08,1.229695,1.230391,1.224800,1.229407,1.229407,0
2014-12-09,1.231406,1.244800,1.229377,1.231512,1.231512,0
2014-12-10,1.238712,1.243595,1.236293,1.239495,1.239495,0
2014-12-11,1.248003,1.249594,1.237420,1.247396,1.247396,0
2014-12-12,1.239127,1.247707,1.238669,1.239495,1.239495,0
2014-12-15,1.246479,1.248000,1.241710,1.246354,1.246354,0
2014-12-16,1.244354,1.256570,1.243626,1.244354,1.244354,0
2014-12-17,1.251377,1.251596,1.239010,1.251204,1.251204,0
2014-12-18,1.233806,1.235147,1.226670,1.233898,1.233898,0
2014-12-19,1.229105,1.230999,1.225490,1.229045,1.229045,0
2014-12-22,1.222494,1.228000,1.222359,1.222599,1.222599,0
2014-12-23,1.222464,1.224999,1.216570,1.222374,1.222374,0
2014-12-24,1.217597,1.222105,1.217093,1.217493,1.217493,0
2014-12-25,1.219854,1.225595,1.219155,1.219854,1.219854,0
2014-12-26,1.221106,1.222300,1.217000,1.221001,1.221001,0
2014-12-29,1.216960,1.221999,1.216960,1.216945,1.216945,0
2014-12-30,1.215495,1.218999,1.212490,1.215347,1.215347,0
2014-12-31,1.216205,1.216974,1.210539,1.216205,1.216205,0
2015-01-01,1.209863,1.209863,1.209863,1.209863,1.209863,0
